category,series_name,tile_type,color,surface,size_cm,size_inches,sku_code,application,suitable_for,unnamed:_10,embedding_text,page_number,image_path
Marble,Tech Marble,Full Body Porcelain Tiles,Grey Silk,Honed,60x60,"23.62""x23.62""",A06GTCMB-GSK.X0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Grey Silk color with a Honed finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/SILK_MARBLE_GREY.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,Grey Silk,Polished,60x60,"23.62""x23.62""",A06GTCMB-GSK.O0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Grey Silk color with a Polished finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/SILK_MARBLE_GREY.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,Onyx Venato,Honed,60x60,"23.62""x23.62""",A06GTCMB-OXV.X0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Onyx Venato color with a Honed finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/ONYX_VENATO.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,Onyx Venato,Polished,60x60,"23.62""x23.62""",A06GTCMB-OXV.O0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Onyx Venato color with a Polished finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/ONYX_VENATO.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,Supreme White,Honed,60x60,"23.62""x23.62""",A06GTCMB-SUW.X0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Supreme White color with a Honed finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/SUPREME_WHITE.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,Supreme White,Polished,60x60,"23.62""x23.62""",A06GTCMB-SUW.O0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in Supreme White color with a Polished finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/SUPREME_WHITE.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,White Venato,Honed,60x60,"23.62""x23.62""",A06GTCMB-WVT.X0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in White Venato color with a Honed finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/MEDICEA_MARBLE_WHITE_2.jpeg
Marble,Tech Marble,Full Body Porcelain Tiles,White Venato,Polished,60x60,"23.62""x23.62""",A06GTCMB-WVT.O0X0P,Wall/Floor,Domestic/Light and Heavy Commercial,,"series Full Body Porcelain Tiles in White Venato color with a Polished finish, size 60x60 cm, suitable for wall/floor applications in domestic/light and heavy commercial spaces.",19,./extracted_images/MEDICEA_MARBLE_WHITE_2.jpeg
Metal,Mimesis,Porcelain Tiles,Anthracite,Matt,80x80,"31.49""x31.49""",A05GMIMS-ANT.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Grey,Matt,80x80,"31.49""x31.49""",A05GMIMS-GRY.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Ivory,Matt,80x80,"31.49""x31.49""",A05GMIMS-IVO.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_IVORY_DECOR.jpeg
